"NAME_2","GID_2"
"anta","ARG.17.1_1"
"cachi","ARG.17.2_1"
"cafayate","ARG.17.3_1"
"capital","ARG.17.4_1"
"cerrillos","ARG.17.5_1"
"chicoana","ARG.17.6_1"
"general guemes","ARG.17.7_1"
"general jose de san martin","ARG.17.8_1"
"guachipas","ARG.17.9_1"
"iruya","ARG.17.10_1"
"la caldera","ARG.17.11_1"
"la candelaria","ARG.17.12_1"
"la poma","ARG.17.13_1"
"la vina","ARG.17.14_1"
"los andes","ARG.17.15_1"
"metan","ARG.17.16_1"
"molinos","ARG.17.17_1"
"oran","ARG.17.18_1"
"rivadavia","ARG.17.19_1"
"rosario de la frontera","ARG.17.20_1"
"rosario de lerma","ARG.17.21_1"
"san carlos","ARG.17.22_1"
"santa victoria","ARG.17.23_1"
"sin informacion","Sin Informacion"
"grl. jose de san martin","ARG.17.8_1"
