"NAME_2","GID_2"
"abaira","BRA.5.1_1"
"abare","BRA.5.2_1"
"acajutiba","BRA.5.3_1"
"adustina","BRA.5.4_1"
"agua fria","BRA.5.5_1"
"aiquara","BRA.5.6_1"
"alagoinhas","BRA.5.7_1"
"alcobaca","BRA.5.8_1"
"almadina","BRA.5.9_1"
"amargosa","BRA.5.10_1"
"amelia rodrigues","BRA.5.11_1"
"america dourada","BRA.5.12_1"
"anage","BRA.5.13_1"
"andarai","BRA.5.14_1"
"andorinha","BRA.5.15_1"
"angical","BRA.5.16_1"
"anguera","BRA.5.17_1"
"antas","BRA.5.18_1"
"antonio cardoso","BRA.5.19_1"
"antonio goncalves","BRA.5.20_1"
"apora","BRA.5.21_1"
"apuarema","BRA.5.22_1"
"aracas","BRA.5.23_1"
"aracatu","BRA.5.24_1"
"araci","BRA.5.25_1"
"aramari","BRA.5.26_1"
"arataca","BRA.5.27_1"
"aratuipe","BRA.5.28_1"
"aratuipe","BRA.5.29_1"
"aurelino leal","BRA.5.30_1"
"baianopolis","BRA.5.31_1"
"baixa grande","BRA.5.32_1"
"banzae","BRA.5.33_1"
"barra","BRA.5.38_1"
"barra da choca","BRA.5.34_1"
"barra da estiva","BRA.5.35_1"
"barra do mendes","BRA.5.36_1"
"barra do rocha","BRA.5.37_1"
"barreiras","BRA.5.39_1"
"barro alto","BRA.5.40_1"
"barro preto","BRA.5.41_1"
"belmonte","BRA.5.42_1"
"belo campo","BRA.5.43_1"
"biritinga","BRA.5.44_1"
"boa nova","BRA.5.45_1"
"boa vista do tupim","BRA.5.46_1"
"bom jesus da lapa","BRA.5.47_1"
"bom jesus da serra","BRA.5.48_1"
"boninal","BRA.5.49_1"
"bonito","BRA.5.50_1"
"boquira","BRA.5.51_1"
"botupora","BRA.5.52_1"
"brejoes","BRA.5.53_1"
"brejolandia","BRA.5.54_1"
"brotas de macaubas","BRA.5.55_1"
"brumado","BRA.5.56_1"
"buerarema","BRA.5.57_1"
"buritirama","BRA.5.58_1"
"caatiba","BRA.5.59_1"
"cabaceiras do paraguacu","BRA.5.60_1"
"cachoeira","BRA.5.61_1"
"cacule","BRA.5.62_1"
"caem","BRA.5.63_1"
"caetanos","BRA.5.64_1"
"caetite","BRA.5.65_1"
"cafarnaum","BRA.5.66_1"
"cairu","BRA.5.67_1"
"caldeirao grande","BRA.5.68_1"
"camacan","BRA.5.69_1"
"camacari","BRA.5.70_1"
"camamu","BRA.5.71_1"
"campo alegre de lourdes","BRA.5.72_1"
"campo formoso","BRA.5.73_1"
"canapolis","BRA.5.74_1"
"canarana","BRA.5.75_1"
"canavieiras","BRA.5.76_1"
"candeal","BRA.5.77_1"
"candeias","BRA.5.78_1"
"candiba","BRA.5.79_1"
"candido sales","BRA.5.80_1"
"cansancao","BRA.5.81_1"
"canudos","BRA.5.82_1"
"capela do alto alegre","BRA.5.83_1"
"capim grosso","BRA.5.84_1"
"caraibas","BRA.5.85_1"
"caravelas","BRA.5.86_1"
"cardeal da silva","BRA.5.87_1"
"carinhanha","BRA.5.88_1"
"casa nova","BRA.5.89_1"
"castro alves","BRA.5.90_1"
"catolandia","BRA.5.91_1"
"catu","BRA.5.92_1"
"caturama","BRA.5.93_1"
"central","BRA.5.94_1"
"chorrocho","BRA.5.95_1"
"cicero dantas","BRA.5.96_1"
"cipo","BRA.5.97_1"
"coaraci","BRA.5.98_1"
"cocos","BRA.5.99_1"
"conceicao da feira","BRA.5.100_1"
"conceicao do almeida","BRA.5.101_1"
"conceicao do almeida","BRA.5.102_1"
"conceicao do coite","BRA.5.103_1"
"conceicao do jacuipe","BRA.5.104_1"
"conde","BRA.5.105_1"
"condeuba","BRA.5.106_1"
"contendas do sincora","BRA.5.107_1"
"coracao de maria","BRA.5.108_1"
"cordeiros","BRA.5.109_1"
"coribe","BRA.5.110_1"
"coronel joao sa","BRA.5.111_1"
"correntina","BRA.5.112_1"
"cotegipe","BRA.5.113_1"
"cravolandia","BRA.5.114_1"
"crisopolis","BRA.5.115_1"
"cristopolis","BRA.5.116_1"
"cruz das almas","BRA.5.117_1"
"curaca","BRA.5.118_1"
"dario meira","BRA.5.119_1"
