"NAME_2","GID_2"
"angra dos reis","BRA.19.1_1"
"aperibe","BRA.19.2_1"
"araruama","BRA.19.3_1"
"areal","BRA.19.4_1"
"armacao dos buzios","BRA.19.5_1"
"arraial do cabo","BRA.19.6_1"
"barra do pirai","BRA.19.7_1"
"barra mansa","BRA.19.8_1"
"belford roxo","BRA.19.9_1"
"bom jardim","BRA.19.10_1"
"bom jesus do itabapoana","BRA.19.11_1"
"cabo frio","BRA.19.12_1"
"cachoeiras de macacu","BRA.19.13_1"
"cambuci","BRA.19.14_1"
"campos","BRA.19.15_1"
"cantagalo","BRA.19.16_1"
"cardoso moreira","BRA.19.17_1"
"carepebus","BRA.19.18_1"
"carmo","BRA.19.19_1"
"casimiro de abreu","BRA.19.20_1"
"comendador levy gasparian","BRA.19.21_1"
"conceicao macabu","BRA.19.22_1"
"cordeiro","BRA.19.23_1"
"duas barras","BRA.19.24_1"
"duque de caxias","BRA.19.25_1"
"engenheiro paulo de front","BRA.19.26_1"
"guapimirim","BRA.19.27_1"
"iguaba grande","BRA.19.28_1"
"itaborai","BRA.19.29_1"
"itaguai","BRA.19.30_1"
"italva","BRA.19.31_1"
"itaocara","BRA.19.32_1"
"itaperuna","BRA.19.33_1"
"itatiaia","BRA.19.34_1"
"japeri","BRA.19.35_1"
"laje do muriae","BRA.19.36_1"
"macae","BRA.19.37_1"
"macuco","BRA.19.38_1"
"mage","BRA.19.39_1"
"mangaratiba","BRA.19.40_1"
"marica","BRA.19.41_1"
"mendes","BRA.19.42_1"
"miguel pereira","BRA.19.43_1"
"miracema","BRA.19.44_1"
"natividade","BRA.19.45_1"
"nilopolis","BRA.19.46_1"
"niteroi","BRA.19.47_1"
"nova friburgo","BRA.19.48_1"
"nova iguacu","BRA.19.49_1"
"paracambi","BRA.19.50_1"
"paraiba do sul","BRA.19.51_1"
"parati","BRA.19.52_1"
"paty do alferes","BRA.19.53_1"
"petropolis","BRA.19.54_1"
"pinheiral","BRA.19.55_1"
"pirai","BRA.19.56_1"
"porciuncula","BRA.19.57_1"
"porto real","BRA.19.58_1"
"quatis","BRA.19.59_1"
"queimados","BRA.19.60_1"
"quissama","BRA.19.61_1"
"resende","BRA.19.62_1"
"rio bonito","BRA.19.63_1"
"rio claro","BRA.19.64_1"
"rio das flores","BRA.19.65_1"
"rio das ostras","BRA.19.66_1"
"rio de janeiro","BRA.19.67_1"
"santa maria madalena","BRA.19.68_1"
"santo antonio de padua","BRA.19.69_1"
"sao fidelis","BRA.19.70_1"
"sao francisco de itabapoana","BRA.19.71_1"
"sao goncalo","BRA.19.72_1"
"sao joao da barra","BRA.19.73_1"
"sao joao de meriti","BRA.19.74_1"
"sao jose de uba","BRA.19.75_1"
"sao jose do vale do rio preto","BRA.19.76_1"
"sao pedro da aldeia","BRA.19.77_1"
"sao sebastiao do alto","BRA.19.78_1"
"sapucaia","BRA.19.79_1"
"saquarema","BRA.19.80_1"
"seropedica","BRA.19.81_1"
"silva jardim","BRA.19.82_1"
"sumidouro","BRA.19.83_1"
"tangua","BRA.19.84_1"
"teresopolis","BRA.19.85_1"
"trajano de morais","BRA.19.86_1"
"tres rios","BRA.19.87_1"
"valencia","BRA.19.88_1"
"varre-sai","BRA.19.89_1"
"vassouras","BRA.19.90_1"
"volta redonda","BRA.19.91_1"
"sin informacion","Sin Informacion"
