"NAME_2","GID_2"
"ayutla","GTM.17.1_1"
"catarina","GTM.17.2_1"
"comitancillo","GTM.17.3_1"
"concepcion tutuapa","GTM.17.4_1"
"el quetzal","GTM.17.5_1"
"el rodeo","GTM.17.6_1"
"el tumbador","GTM.17.7_1"
"esquipulas palo gordo","GTM.17.8_1"
"ixchiguan","GTM.17.9_1"
"la reforma","GTM.17.10_1"
"malacatan","GTM.17.11_1"
"nuevo progreso","GTM.17.12_1"
"ocos","GTM.17.13_1"
"pajapita","GTM.17.14_1"
"rio blanco","GTM.17.15_1"
"san antonio sacatepequez","GTM.17.16_1"
"san cristobal cucho","GTM.17.17_1"
"san jose ojetenam","GTM.17.18_1"
"san lorenzo","GTM.17.19_1"
"san marcos","GTM.17.20_1"
"san miguel ixtahuacan","GTM.17.21_1"
"san pablo","GTM.17.22_1"
"san pedro sacatepequez","GTM.17.23_1"
"san rafael pie de la cuesta","GTM.17.24_1"
"san sibinal","GTM.17.25_1"
"sipacapa","GTM.17.26_1"
"tacana","GTM.17.27_1"
"tajumulco","GTM.17.28_1"
"tejutla","GTM.17.29_1"
"sin informacion","Sin Informacion"
"san antonio","GTM.17.16_1"
"sibinal"," GTM.17.25_1"
"tecunuman","GTM.17.1_1"
"san jose el rode","GTM.17.6_1"
"tasana","GTM.17.27_1"
