"NAME_2","GID_2"
"calamuchita","ARG.6.1_1"
"capital","ARG.6.2_1"
"colon","ARG.6.3_1"
"cruz del eje","ARG.6.4_1"
"general roca","ARG.6.5_1"
"general san martin","ARG.6.6_1"
"ischilin","ARG.6.7_1"
"juarez celman","ARG.6.8_1"
"marcos juarez","ARG.6.9_1"
"minas","ARG.6.10_1"
"pocho","ARG.6.11_1"
"presidente roque saenz pena","ARG.6.12_1"
"punilla","ARG.6.13_1"
"rio cuarto","ARG.6.14_1"
"rio primero","ARG.6.15_1"
"rio seco","ARG.6.16_1"
"rio segundo","ARG.6.17_1"
"san alberto","ARG.6.18_1"
"san javier","ARG.6.19_1"
"san justo","ARG.6.20_1"
"santa maria","ARG.6.21_1"
"sobremonte","ARG.6.22_1"
"tercero arriba","ARG.6.23_1"
"totoral","ARG.6.24_1"
"tulumba","ARG.6.25_1"
"union","ARG.6.26_1"
"sin informacion","Sin Informacion"
