"NAME_2","GID_2"
"ahumada","MEX.6.1_1"
"aldama","MEX.6.2_1"
"allende","MEX.6.3_1"
"aquiles serdan","MEX.6.4_1"
"ascension","MEX.6.5_1"
"bachiniva","MEX.6.6_1"
"balleza","MEX.6.7_1"
"batopilas","MEX.6.8_1"
"bocoyna","MEX.6.9_1"
"buenaventura","MEX.6.10_1"
"camargo","MEX.6.11_1"
"carichic","MEX.6.12_1"
"casas grandes","MEX.6.13_1"
"chihuahua","MEX.6.14_1"
"chinipas","MEX.6.15_1"
"coronado","MEX.6.16_1"
"coyame del sotol","MEX.6.17_1"
"cuauhtemoc","MEX.6.18_1"
"cusihuiriachic","MEX.6.19_1"
"delicias","MEX.6.20_1"
"dr. belisario dominguez","MEX.6.21_1"
"el tule","MEX.6.22_1"
"galeana","MEX.6.23_1"
"general trias","MEX.6.24_1"
"gran morelos","MEX.6.25_1"
"guachochic","MEX.6.26_1"
"guadalupe","MEX.6.27_1"
"guadalupe y calvo","MEX.6.28_1"
"guazapares","MEX.6.29_1"
"guerrero","MEX.6.30_1"
"hidalgo del parral","MEX.6.31_1"
"huejotitan","MEX.6.32_1"
"ignacio zaragoza","MEX.6.33_1"
"janos","MEX.6.34_1"
"jimenez","MEX.6.35_1"
"juarez","MEX.6.36_1"
"julimes","MEX.6.37_1"
"la cruz","MEX.6.38_1"
"lopez","MEX.6.39_1"
"madera","MEX.6.40_1"
"maguarichic","MEX.6.41_1"
"manuel benavides","MEX.6.42_1"
"matachic","MEX.6.43_1"
"matamoros","MEX.6.44_1"
"meoqui","MEX.6.45_1"
"morelos","MEX.6.46_1"
"moris","MEX.6.47_1"
"namiquipa","MEX.6.48_1"
"nonoava","MEX.6.49_1"
"nuevo casas grandes","MEX.6.50_1"
"ocampo","MEX.6.51_1"
"ojinaga","MEX.6.52_1"
"praxedis g. guerrero","MEX.6.53_1"
"riva palacio","MEX.6.54_1"
"rosales","MEX.6.55_1"
"rosario","MEX.6.56_1"
"san francisco de borja","MEX.6.57_1"
"san francisco de conchos","MEX.6.58_1"
"san francisco del oro","MEX.6.59_1"
"santa barbara","MEX.6.60_1"
"satevo","MEX.6.61_1"
"saucillo","MEX.6.62_1"
"temosachic","MEX.6.63_1"
"urique","MEX.6.64_1"
"uruachic","MEX.6.65_1"
"valle de zaragoza","MEX.6.66_1"
"sin informacion","Sin Informacion"
