"NAME_2","GID_2"
"borja","PRY.12.1_1"
"capitan mauricio jose troche","PRY.12.2_1"
"coronel martinez","PRY.12.3_1"
"doctor botrell","PRY.12.4_1"
"felix perez cardozo","PRY.12.5_1"
"general eugenio a. garay","PRY.12.6_1"
"independencia","PRY.12.7_1"
"itape","PRY.12.8_1"
"iturbe","PRY.12.9_1"
"jose a. fassardi","PRY.12.10_1"
"mbocayaty del guaira","PRY.12.11_1"
"natalicio talavera","PRY.12.12_1"
"numi","PRY.12.13_1"
"san salvador","PRY.12.14_1"
"villarrica","PRY.12.15_1"
"yataity del guaira","PRY.12.16_1"
"sin informacion","Sin Informacion"
