"NAME_2","GID_2"
"3 de febrero","PRY.6.1_1"
"caaguazu","PRY.6.2_1"
"carayao","PRY.6.3_1"
"coronel oviedo","PRY.6.4_1"
"doctor cecilio baez","PRY.6.5_1"
"doctor j. eulogio estigarribia","PRY.6.6_1"
"doctor juan manuel frutos","PRY.6.7_1"
"jose domingo ocampos","PRY.6.8_1"
"la pastora","PRY.6.9_1"
"mariscal francisco solano lopez","PRY.6.10_1"
"nueva londres","PRY.6.11_1"
"r. i. 3 corrales","PRY.6.12_1"
"raul arsenio oviedo","PRY.6.13_1"
"repatriacion","PRY.6.14_1"
"san joaquin","PRY.6.15_1"
"san jose de los arroyos","PRY.6.16_1"
"santa rosa del mbutuy","PRY.6.17_1"
"simon bolivar","PRY.6.18_1"
"yhu","PRY.6.19_1"
"sin informacion","Sin Informacion"
