"NAME_2","GID_2"
"division no. 1","CAN.12.10_1"
"division no. 10","CAN.12.1_1"
"division no. 11","CAN.12.2_1"
"division no. 12","CAN.12.3_1"
"division no. 13","CAN.12.4_1"
"division no. 14","CAN.12.5_1"
"division no. 15","CAN.12.6_1"
"division no. 16","CAN.12.7_1"
"division no. 17","CAN.12.8_1"
"division no. 18","CAN.12.9_1"
"division no. 2","CAN.12.11_1"
"division no. 3","CAN.12.12_1"
"division no. 4","CAN.12.13_1"
"division no. 5","CAN.12.14_1"
"division no. 6","CAN.12.15_1"
"division no. 7","CAN.12.16_1"
"division no. 8","CAN.12.17_1"
"division no. 9","CAN.12.18_1"
"sin informacion","Sin Informacion"
