"NAME_2","GID_2"
"acadia","USA.19.1_1"
"allen","USA.19.2_1"
"ascension","USA.19.3_1"
"assumption","USA.19.4_1"
"avoyelles","USA.19.5_1"
"beauregard","USA.19.6_1"
"bienville","USA.19.7_1"
"bossier","USA.19.8_1"
"caddo","USA.19.9_1"
"calcasieu","USA.19.10_1"
"caldwell","USA.19.11_1"
"cameron","USA.19.12_1"
"catahoula","USA.19.13_1"
"claiborne","USA.19.14_1"
"concordia","USA.19.15_1"
"de soto","USA.19.16_1"
"east baton rouge","USA.19.17_1"
"east carroll","USA.19.18_1"
"east feliciana","USA.19.19_1"
"evangeline","USA.19.20_1"
"franklin","USA.19.21_1"
"grant","USA.19.22_1"
"iberia","USA.19.23_1"
"iberville","USA.19.24_1"
"jackson","USA.19.25_1"
"jefferson","USA.19.26_1"
"jefferson davis","USA.19.27_1"
"la salle","USA.19.28_1"
"lafayette","USA.19.29_1"
"lafourche","USA.19.30_1"
"lincoln","USA.19.31_1"
"livingston","USA.19.32_1"
"madison","USA.19.33_1"
"morehouse","USA.19.34_1"
"natchitoches","USA.19.35_1"
"orleans","USA.19.36_1"
"ouachita","USA.19.37_1"
"plaquemines","USA.19.38_1"
"pointe coupee","USA.19.39_1"
"rapides","USA.19.40_1"
"red river","USA.19.41_1"
"richland","USA.19.42_1"
"sabine","USA.19.43_1"
"saint bernard","USA.19.44_1"
"saint charles","USA.19.45_1"
"saint helena","USA.19.46_1"
"saint james","USA.19.47_1"
"saint john the baptist","USA.19.48_1"
"saint landry","USA.19.49_1"
"saint martin","USA.19.50_1"
"saint mary","USA.19.51_1"
"saint tammany","USA.19.52_1"
"tangipahoa","USA.19.53_1"
"tensas","USA.19.54_1"
"terrebonne","USA.19.55_1"
"union","USA.19.56_1"
"vermilion","USA.19.57_1"
"vernon","USA.19.58_1"
"washington","USA.19.59_1"
"webster","USA.19.60_1"
"west baton rouge","USA.19.61_1"
"west carroll","USA.19.62_1"
"west feliciana","USA.19.63_1"
"winn","USA.19.64_1"
"sin informacion","Sin Informacion"
