"NAME_2","GID_2"
"candelaria","SLV.4.1_1"
"cojutepeque","SLV.4.2_1"
"el carmen","SLV.4.3_1"
"el rosario","SLV.4.4_1"
"monte san juan","SLV.4.5_1"
"oratorio de concepcion","SLV.4.6_1"
"san bartolome perulapia","SLV.4.7_1"
"san cristobal","SLV.4.8_1"
"san jose guayabal","SLV.4.9_1"
"san pedro perulapan","SLV.4.10_1"
"san rafael cedros","SLV.4.11_1"
"san ramon","SLV.4.12_1"
"santa cruz analquito","SLV.4.13_1"
"santa cruz michapa","SLV.4.14_1"
"suchitoto","SLV.4.15_1"
"tenancingo","SLV.4.16_1"
"sin informacion","Sin Informacion"
"s.jose guayabal","SLV.4.9_1"
"s.b.perulapia","SLV.4.7_1"
