"NAME_2","GID_2"
"anamoros","SLV.7.1_1"
"bolivar","SLV.7.2_1"
"concepcion de oriente","SLV.7.3_1"
"conchagua","SLV.7.4_1"
"el carmen","SLV.7.5_1"
"el sauce","SLV.7.6_1"
"intipuca","SLV.7.7_1"
"la union","SLV.7.8_1"
"lislique","SLV.7.9_1"
"meanguera del golfo","SLV.7.10_1"
"nueva esparta","SLV.7.11_1"
"pasaquina","SLV.7.12_1"
"poloros","SLV.7.13_1"
"san alejo","SLV.7.14_1"
"san jose","SLV.7.15_1"
"santa rosa de lima","SLV.7.16_1"
"yayantique","SLV.7.17_1"
"yucuaiquin","SLV.7.18_1"
"sin informacion","Sin Informacion"
"sta rosa de lima","SLV.7.16_1"
