"NAME_2","GID_2"
"buenavista","COL.28.1_1"
"caimito","COL.28.2_1"
"chalan","COL.28.3_1"
"coloso","COL.28.4_1"
"corozal","COL.28.5_1"
"galeras","COL.28.6_1"
"guaranda","COL.28.7_1"
"la union de sucre","COL.28.8_1"
"los palmitos","COL.28.9_1"
"majagual","COL.28.10_1"
"morroa","COL.28.11_1"
"ovejas","COL.28.12_1"
"sampues","COL.28.13_1"
"san antonio de palmito","COL.28.14_1"
"san benito abad","COL.28.15_1"
"san juan de betulia","COL.28.16_1"
"san marcos","COL.28.17_1"
"san onofre","COL.28.18_1"
"san pedro","COL.28.19_1"
"since","COL.28.20_1"
"sincelejo","COL.28.21_1"
"sucre","COL.28.22_1"
"tolu","COL.28.23_1"
"toluviejo","COL.28.24_1"
"sin informacion","Sin Informacion"
