"NAME_2","GID_2"
"alauca","HND.7.1_1"
"danli","HND.7.2_1"
"el paraiso","HND.7.3_1"
"guinope","HND.7.4_1"
"jacaleapa","HND.7.5_1"
"liure","HND.7.6_1"
"moroceli","HND.7.7_1"
"oropoli","HND.7.8_1"
"potrerillos","HND.7.9_1"
"san antonio de flores","HND.7.10_1"
"san lucas","HND.7.11_1"
"san matias","HND.7.12_1"
"soledad","HND.7.13_1"
"teupasenti","HND.7.14_1"
"texiguat","HND.7.15_1"
"trojes","HND.7.16_1"
"vado ancho","HND.7.17_1"
"yauyupe","HND.7.18_1"
"yuscaran","HND.7.19_1"
"sin informacion","Sin Informacion"
