"NAME_2","GID_2"
"aguaqueterique","HND.12.1_1"
"cabanas","HND.12.2_1"
"cane","HND.12.3_1"
"chinacla","HND.12.4_1"
"guajiquiro","HND.12.5_1"
"la paz","HND.12.6_1"
"lauterique","HND.12.7_1"
"marcala","HND.12.8_1"
"mercedes de oriente","HND.12.9_1"
"opatoro","HND.12.10_1"
"san antonio del norte","HND.12.11_1"
"san jose","HND.12.12_1"
"san juan","HND.12.13_1"
"san pedro de tutule","HND.12.14_1"
"santa ana","HND.12.15_1"
"santa elena","HND.12.16_1"
"santa maria","HND.12.17_1"
"santiago de puringla","HND.12.18_1"
"yarula","HND.12.19_1"
"sin informacion","Sin Informacion"
