"NAME_2","GID_2"
"acosta","VEN.12.1_1"
"bolivar","VEN.12.2_1"
"buchivacoa","VEN.12.3_1"
"cacique manaure","VEN.12.4_1"
"carirubana","VEN.12.5_1"
"colina","VEN.12.6_1"
"dabajuro","VEN.12.7_1"
"democracia","VEN.12.8_1"
"falcon","VEN.12.9_1"
"federacion","VEN.12.10_1"
"jacura","VEN.12.11_1"
"los tanques","VEN.12.12_1"
"mauroa","VEN.12.13_1"
"miranda","VEN.12.14_1"
"monsenor iturriza","VEN.12.15_1"
"palma sola","VEN.12.16_1"
"petit","VEN.12.17_1"
"piritu","VEN.12.18_1"
"san francisco","VEN.12.19_1"
"silva","VEN.12.20_1"
"sucre","VEN.12.21_1"
"tocopero","VEN.12.22_1"
"union","VEN.12.23_1"
"urumaco","VEN.12.24_1"
"zamora","VEN.12.25_1"
"sin informacion","Sin Informacion"
