"NAME_2","GID_2"
"appling","USA.11.1_1"
"atkinson","USA.11.2_1"
"bacon","USA.11.3_1"
"baker","USA.11.4_1"
"baldwin","USA.11.5_1"
"banks","USA.11.6_1"
"barrow","USA.11.7_1"
"bartow","USA.11.8_1"
"ben hill","USA.11.9_1"
"berrien","USA.11.10_1"
"bibb","USA.11.11_1"
"bleckley","USA.11.12_1"
"brantley","USA.11.13_1"
"brooks","USA.11.14_1"
"bryan","USA.11.15_1"
"bulloch","USA.11.16_1"
"burke","USA.11.17_1"
"butts","USA.11.18_1"
"calhoun","USA.11.19_1"
"camden","USA.11.20_1"
"candler","USA.11.21_1"
"carroll","USA.11.22_1"
"catoosa","USA.11.23_1"
"charlton","USA.11.24_1"
"chatham","USA.11.25_1"
"chattahoochee","USA.11.26_1"
"chattooga","USA.11.27_1"
"cherokee","USA.11.28_1"
"clarke","USA.11.29_1"
"clay","USA.11.30_1"
"clayton","USA.11.31_1"
"clinch","USA.11.32_1"
"cobb","USA.11.33_1"
"coffee","USA.11.34_1"
"colquitt","USA.11.35_1"
"columbia","USA.11.36_1"
"cook","USA.11.37_1"
"coweta","USA.11.38_1"
"crawford","USA.11.39_1"
"crisp","USA.11.40_1"
"dade","USA.11.41_1"
"dawson","USA.11.42_1"
"decatur","USA.11.43_1"
"dekalb","USA.11.44_1"
"dodge","USA.11.45_1"
"dooly","USA.11.46_1"
"dougherty","USA.11.47_1"
"douglas","USA.11.48_1"
"early","USA.11.49_1"
"echols","USA.11.50_1"
"effingham","USA.11.51_1"
"elbert","USA.11.52_1"
"emanuel","USA.11.53_1"
"evans","USA.11.54_1"
"fannin","USA.11.55_1"
"fayette","USA.11.56_1"
"floyd","USA.11.57_1"
"forsyth","USA.11.58_1"
"franklin","USA.11.59_1"
"fulton","USA.11.60_1"
"gilmer","USA.11.61_1"
"glascock","USA.11.62_1"
"glynn","USA.11.63_1"
"gordon","USA.11.64_1"
"grady","USA.11.65_1"
"greene","USA.11.66_1"
"gwinnett","USA.11.67_1"
"habersham","USA.11.68_1"
"hall","USA.11.69_1"
"hancock","USA.11.70_1"
"haralson","USA.11.71_1"
"harris","USA.11.72_1"
"hart","USA.11.73_1"
"heard","USA.11.74_1"
"henry","USA.11.75_1"
"houston","USA.11.76_1"
"irwin","USA.11.77_1"
"jackson","USA.11.78_1"
"jasper","USA.11.79_1"
"jeff davis","USA.11.80_1"
"jefferson","USA.11.81_1"
"jenkins","USA.11.82_1"
"johnson","USA.11.83_1"
"jones","USA.11.84_1"
"lamar","USA.11.85_1"
"lanier","USA.11.86_1"
"laurens","USA.11.87_1"
"lee","USA.11.88_1"
"liberty","USA.11.89_1"
"lincoln","USA.11.90_1"
"long","USA.11.91_1"
"lowndes","USA.11.92_1"
"lumpkin","USA.11.93_1"
"macon","USA.11.94_1"
"madison","USA.11.95_1"
"marion","USA.11.96_1"
"mcduffie","USA.11.97_1"
"mcintosh","USA.11.98_1"
"meriwether","USA.11.99_1"
"miller","USA.11.100_1"
"mitchell","USA.11.101_1"
"monroe","USA.11.102_1"
"montgomery","USA.11.103_1"
"morgan","USA.11.104_1"
"murray","USA.11.105_1"
"muscogee","USA.11.106_1"
"newton","USA.11.107_1"
"oconee","USA.11.108_1"
"oglethorpe","USA.11.109_1"
"paulding","USA.11.110_1"
"peach","USA.11.111_1"
"pickens","USA.11.112_1"
"pierce","USA.11.113_1"
"pike","USA.11.114_1"
"polk","USA.11.115_1"
"pulaski","USA.11.116_1"
"putnam","USA.11.117_1"
"quitman","USA.11.118_1"
"rabun","USA.11.119_1"
"randolph","USA.11.120_1"
"richmond","USA.11.121_1"
"rockdale","USA.11.122_1"
"schley","USA.11.123_1"
"screven","USA.11.124_1"
"seminole","USA.11.125_1"
"spalding","USA.11.126_1"
"stephens","USA.11.127_1"
"stewart","USA.11.128_1"
"sumter","USA.11.129_1"
"talbot","USA.11.130_1"
"taliaferro","USA.11.131_1"
"tattnall","USA.11.132_1"
"taylor","USA.11.133_1"
"telfair","USA.11.134_1"
"terrell","USA.11.135_1"
"thomas","USA.11.136_1"
"tift","USA.11.137_1"
"toombs","USA.11.138_1"
"towns","USA.11.139_1"
"treutlen","USA.11.140_1"
"troup","USA.11.141_1"
"turner","USA.11.142_1"
"twiggs","USA.11.143_1"
"union","USA.11.144_1"
"upson","USA.11.145_1"
"walker","USA.11.146_1"
"walton","USA.11.147_1"
"ware","USA.11.148_1"
"warren","USA.11.149_1"
"washington","USA.11.150_1"
"wayne","USA.11.151_1"
"webster","USA.11.152_1"
"wheeler","USA.11.153_1"
"white","USA.11.154_1"
"whitfield","USA.11.155_1"
"wilcox","USA.11.156_1"
"wilkes","USA.11.157_1"
"wilkinson","USA.11.158_1"
"worth","USA.11.159_1"
"sin informacion","Sin Informacion"
