"Ano","Regiao","Sub_Regiao","Pais","ADM0_ISO","Mes","UnidMaior","GID_1","GeoCodUnidMaior","UnidMenor","GID_2","GeoCodUnidMenor","Especie","Categoria","TotalCasos","TotalNaoConfirmados","CASO_VARIANTE","CASO_FILOGEN","CASO_CERTIFICACAO","CASO_DATA_CERTIFIC","CASO_LAB","matchcode"
2008,"América Latina","Cono Sur","Argentina","ARG",11,"Buenos Aires","ARG.1_1","ARG-BAI","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"0","NULL","NULL","P","2008-11-25 09:32:00.787","1",NA
2012,"América Latina","Cono Sur","Argentina","ARG",2,"Buenos Aires","ARG.1_1","ARG-BAI","Villarino","ARG.1.127_1","...","Perros","Perros",1,"0","NULL","","P","2012-03-26 14:04:14.323","1",NA
2008,"América Latina","Cono Sur","Argentina","ARG",11,"Chaco","ARG.3_1","ARG-CHA","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"0","NULL","NULL","P","2009-01-19 14:50:05.037","1",NA
2008,"América Latina","Cono Sur","Argentina","ARG",5,"Chaco","ARG.3_1","ARG-CHA","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"0","NULL","NULL","P","2008-09-15 09:17:42.870","1",NA
2008,"América Latina","Cono Sur","Argentina","ARG",9,"Chaco","ARG.3_1","ARG-CHA","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"0","NULL","NULL","P","2008-11-24 10:49:19.350","1",NA
2008,"América Latina","Cono Sur","Argentina","ARG",4,"Cordoba","ARG.6_1","ARG-CRD","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"0","NULL","NULL","P","2008-09-15 09:17:33.320","1",NA
2012,"América Latina","Cono Sur","Argentina","ARG",12,"Formosa","ARG.9_1","ARG-FRM","Bermejo","ARG.9.1_1","ARG-FRM-10548","Perros","Perros",1,"0","NULL","","P","2013-05-20 13:58:39.707","1","ARG009001"
2013,"América Latina","Cono Sur","Argentina","ARG",2,"Formosa","ARG.9_1","ARG-FRM","Patiño","ARG.9.5_1","ARG-FRM-10551","Perros","Perros",1,"0","NULL","","P","2013-12-17 07:13:55.613","1","ARG009005"
2013,"América Latina","Cono Sur","Argentina","ARG",1,"Formosa","ARG.9_1","ARG-FRM","Patiño","ARG.9.5_1","ARG-FRM-10551","Perros","Perros",1,"0","NULL","","P","2013-12-17 07:13:55.603","1","ARG009005"
2012,"América Latina","Cono Sur","Argentina","ARG",8,"Formosa","ARG.9_1","ARG-FRM","Patiño","ARG.9.5_1","ARG-FRM-10551","Perros","Perros",1,"0","NULL","","P","2012-11-05 12:33:25.350","1","ARG009005"
2012,"América Latina","Cono Sur","Argentina","ARG",10,"Formosa","ARG.9_1","ARG-FRM","Patiño","ARG.9.5_1","ARG-FRM-10551","Perros","Perros",1,"0","NULL","","P","2013-05-23 13:51:10.420","1","ARG009005"
2005,"América Latina","Cono Sur","Argentina","ARG",2,"Formosa","ARG.9_1","ARG-FRM","Pirané","ARG.9.8_1","ARG-FRM-10556","Perros","Perros",1,"0","NULL","NULL","P","2005-10-14 10:41:26.003","1","ARG009008"
2008,"América Latina","Cono Sur","Argentina","ARG",7,"Formosa","ARG.9_1","ARG-FRM","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"0","NULL","NULL","P","2008-09-15 09:18:01.853","1",NA
2008,"América Latina","Cono Sur","Argentina","ARG",6,"Formosa","ARG.9_1","ARG-FRM","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"0","NULL","NULL","P","2008-09-15 09:17:51.103","1",NA
2010,"América Latina","Cono Sur","Argentina","ARG",1,"Jujuy","ARG.10_1","ARG-JUJ","Dr. Manuel Belgrano","ARG.10.1_1","ARG-JUJ-10566","Perros","Perros",1,"0","NULL","","P","2011-12-16 14:12:34.940","1","ARG010002"
2004,"América Latina","Cono Sur","Argentina","ARG",2,"Jujuy","ARG.10_1","ARG-JUJ","Dr. Manuel Belgrano","ARG.10.1_1","ARG-JUJ-10566","Perros","Perros",1,"0","NULL","NULL","P","2004-09-24 11:27:21.060","1","ARG010002"
2004,"América Latina","Cono Sur","Argentina","ARG",1,"Jujuy","ARG.10_1","ARG-JUJ","Dr. Manuel Belgrano","ARG.10.1_1","ARG-JUJ-10566","Perros","Perros",3,"0","NULL","NULL","P","2004-09-24 11:28:39.640","3","ARG010002"
2004,"América Latina","Cono Sur","Argentina","ARG",7,"Jujuy","ARG.10_1","ARG-JUJ","Dr. Manuel Belgrano","ARG.10.1_1","ARG-JUJ-10566","Perros","Perros",1,"0","NULL","NULL","P","2004-09-24 11:25:07.310","1","ARG010002"
2004,"América Latina","Cono Sur","Argentina","ARG",8,"Jujuy","ARG.10_1","ARG-JUJ","Dr. Manuel Belgrano","ARG.10.1_1","ARG-JUJ-10566","Perros","Perros",1,"0","NULL","NULL","P","2004-09-24 11:24:44.717","1","ARG010002"
2004,"América Latina","Cono Sur","Argentina","ARG",1,"Jujuy","ARG.10_1","ARG-JUJ","Dr. Manuel Belgrano","ARG.10.1_1","ARG-JUJ-10566","Perros","Perros",1,"0","NULL","NULL","P","2004-09-24 10:19:41.250","1","ARG010002"
2004,"América Latina","Cono Sur","Argentina","ARG",5,"Jujuy","ARG.10_1","ARG-JUJ","Dr. Manuel Belgrano","ARG.10.1_1","ARG-JUJ-10566","Perros","Perros",1,"0","NULL","NULL","P","2004-09-24 11:26:12.717","1","ARG010002"
2003,"América Latina","Cono Sur","Argentina","ARG",12,"Jujuy","ARG.10_1","ARG-JUJ","Dr. Manuel Belgrano","ARG.10.1_1","ARG-JUJ-10566","Perros","Perros",3,"0","NULL","NULL","P","2004-04-30 14:53:12.437","3","ARG010002"
2004,"América Latina","Cono Sur","Argentina","ARG",1,"Jujuy","ARG.10_1","ARG-JUJ","Dr. Manuel Belgrano","ARG.10.1_1","ARG-JUJ-10566","Perros","Perros",2,"0","NULL","NULL","P","2004-09-24 11:28:27.293","2","ARG010002"
2003,"América Latina","Cono Sur","Argentina","ARG",12,"Jujuy","ARG.10_1","ARG-JUJ","Dr. Manuel Belgrano","ARG.10.1_1","ARG-JUJ-10566","Perros","Perros",2,"0","NULL","NULL","P","2004-04-30 14:53:12.437","2","ARG010002"
2005,"América Latina","Cono Sur","Argentina","ARG",4,"Jujuy","ARG.10_1","ARG-JUJ","Dr. Manuel Belgrano","ARG.10.1_1","ARG-JUJ-10566","Perros","Perros",1,"0","NULL","NULL","P","2005-06-24 09:52:52.600","1","ARG010002"
2003,"América Latina","Cono Sur","Argentina","ARG",12,"Jujuy","ARG.10_1","ARG-JUJ","Dr. Manuel Belgrano","ARG.10.1_1","ARG-JUJ-10566","Perros","Perros",2,"2","NULL","NULL","P","2004-04-30 14:53:12.437","0","ARG010002"
2004,"América Latina","Cono Sur","Argentina","ARG",1,"Jujuy","ARG.10_1","ARG-JUJ","Dr. Manuel Belgrano","ARG.10.1_1","ARG-JUJ-10566","Perros","Perros",4,"0","NULL","NULL","P","2004-09-24 10:19:52.653","4","ARG010002"
2015,"América Latina","Cono Sur","Argentina","ARG",4,"Jujuy","ARG.10_1","ARG-JUJ","Ledesma","ARG.10.5_1","ARG-JUJ-10560","Perros","Perros",1,"0","NULL","","P","2015-08-21 15:29:03.790","1","ARG010005"
2004,"América Latina","Cono Sur","Argentina","ARG",7,"Jujuy","ARG.10_1","ARG-JUJ","San Pedro","ARG.10.9_1","ARG-JUJ-10565","Perros","Perros",1,"0","NULL","NULL","P","2004-09-24 11:25:07.310","1","ARG010009"
2004,"América Latina","Cono Sur","Argentina","ARG",8,"Jujuy","ARG.10_1","ARG-JUJ","San Pedro","ARG.10.9_1","ARG-JUJ-10565","Perros","Perros",1,"0","NULL","NULL","P","2004-09-24 11:24:44.717","1","ARG010009"
2003,"América Latina","Cono Sur","Argentina","ARG",9,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",13,"NULL","NULL","NULL","P","2003-09-23 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",9,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",11,"NULL","NULL","NULL","P","2003-09-23 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",8,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",9,"NULL","NULL","NULL","P","2003-09-23 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",11,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",2,"NULL","NULL","NULL","P","2003-12-10 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",11,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",4,"NULL","NULL","NULL","P","2003-12-10 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",9,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",15,"NULL","NULL","NULL","P","2003-09-23 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",9,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",5,"NULL","NULL","NULL","P","2003-11-05 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",8,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",6,"NULL","NULL","NULL","P","2003-09-23 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",12,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"NULL","NULL","NULL","P","2003-12-10 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",11,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",9,"NULL","NULL","NULL","P","2003-12-10 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",11,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",2,"NULL","NULL","NULL","P","2003-12-10 00:00:00.000","NULL",NA
2008,"América Latina","Cono Sur","Argentina","ARG",3,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"0","NULL","NULL","P","2008-09-15 09:17:25.307","1",NA
2003,"América Latina","Cono Sur","Argentina","ARG",10,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",9,"NULL","NULL","NULL","P","2003-11-05 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",10,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",6,"NULL","NULL","NULL","P","2003-11-05 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",10,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",8,"NULL","NULL","NULL","P","2003-11-05 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",10,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",4,"NULL","NULL","NULL","P","2003-11-05 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",10,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",4,"NULL","NULL","NULL","P","2003-12-10 00:00:00.000","NULL",NA
2008,"América Latina","Cono Sur","Argentina","ARG",8,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",2,"0","NULL","NULL","P","2008-09-15 09:18:17.213","2",NA
2008,"América Latina","Cono Sur","Argentina","ARG",9,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"0","NULL","NULL","P","2008-11-24 10:49:19.350","1",NA
2003,"América Latina","Cono Sur","Argentina","ARG",8,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"NULL","NULL","NULL","P","2003-09-23 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",8,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",6,"NULL","NULL","NULL","P","2003-09-23 00:00:00.000","NULL",NA
2008,"América Latina","Cono Sur","Argentina","ARG",7,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",2,"0","NULL","NULL","P","2008-09-15 09:18:01.853","2",NA
2008,"América Latina","Cono Sur","Argentina","ARG",11,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"0","NULL","NULL","P","2009-01-19 14:50:05.037","1",NA
2008,"América Latina","Cono Sur","Argentina","ARG",2,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",4,"0","NULL","NULL","P","2008-09-15 09:17:18.150","4",NA
2008,"América Latina","Cono Sur","Argentina","ARG",12,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",2,"0","NULL","NULL","P","2009-01-19 14:50:05.037","2",NA
2008,"América Latina","Cono Sur","Argentina","ARG",4,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",2,"0","NULL","NULL","P","2008-09-15 09:17:33.320","2",NA
2009,"América Latina","Cono Sur","Argentina","ARG",2,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"0","NULL","NULL","P","2009-03-26 10:14:11.890","1",NA
2003,"América Latina","Cono Sur","Argentina","ARG",7,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"NULL","NULL","NULL","P","2003-09-23 00:00:00.000","NULL",NA
2008,"América Latina","Cono Sur","Argentina","ARG",5,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",3,"0","NULL","NULL","P","2008-09-15 09:17:42.870","3",NA
2008,"América Latina","Cono Sur","Argentina","ARG",10,"Jujuy","ARG.10_1","ARG-JUJ","Sin Informacion","Sin Informacion","...","Perros","Perros",3,"0","NULL","NULL","P","2009-01-19 14:50:05.037","3",NA
2005,"América Latina","Cono Sur","Argentina","ARG",3,"Salta","ARG.17_1","ARG-SAL","Capital","ARG.17.4_1","ARG-SAL-10695","Perros","Perros",4,"0","NULL","NULL","P","2005-10-14 10:41:34.330","4","ARG017004"
2005,"América Latina","Cono Sur","Argentina","ARG",4,"Salta","ARG.17_1","ARG-SAL","Capital","ARG.17.4_1","ARG-SAL-10695","Perros","Perros",5,"0","NULL","NULL","P","2005-10-14 10:41:43.190","5","ARG017004"
2004,"América Latina","Cono Sur","Argentina","ARG",2,"Salta","ARG.17_1","ARG-SAL","General Güemes","ARG.17.7_1","ARG-SAL-10682","Perros","Perros",1,"0","NULL","NULL","P","2004-09-24 11:27:56.043","1","ARG017007"
2015,"América Latina","Cono Sur","Argentina","ARG",5,"Salta","ARG.17_1","ARG-SAL","Grl. José de San Martín","ARG.17.8_1","ARG-SAL-10681","Perros","Perros",1,"0","NULL","","P","2015-09-01 20:20:20.070","1","ARG017008"
2010,"América Latina","Cono Sur","Argentina","ARG",10,"Salta","ARG.17_1","ARG-SAL","Grl. José de San Martín","ARG.17.8_1","ARG-SAL-10681","Perros","Perros",1,"0","NULL","","P","2011-12-16 14:12:35.033","1","ARG017008"
2015,"América Latina","Cono Sur","Argentina","ARG",4,"Salta","ARG.17_1","ARG-SAL","Grl. José de San Martín","ARG.17.8_1","ARG-SAL-10681","Perros","Perros",1,"0","NULL","","P","2015-07-24 11:23:37.900","1","ARG017008"
2014,"América Latina","Cono Sur","Argentina","ARG",6,"Salta","ARG.17_1","ARG-SAL","Grl. José de San Martín","ARG.17.8_1","ARG-SAL-10681","Perros","Perros",1,"0","NULL","","P","2014-08-25 07:33:48.220","1","ARG017008"
2015,"América Latina","Cono Sur","Argentina","ARG",1,"Salta","ARG.17_1","ARG-SAL","Grl. José de San Martín","ARG.17.8_1","ARG-SAL-10681","Perros","Perros",1,"0","NULL","","P","2015-07-24 11:23:37.860","1","ARG017008"
2014,"América Latina","Cono Sur","Argentina","ARG",11,"Salta","ARG.17_1","ARG-SAL","Grl. José de San Martín","ARG.17.8_1","ARG-SAL-10681","Perros","Perros",1,"0","NULL","","P","2015-01-23 07:06:03.707","1","ARG017008"
2014,"América Latina","Cono Sur","Argentina","ARG",7,"Salta","ARG.17_1","ARG-SAL","Grl. José de San Martín","ARG.17.8_1","ARG-SAL-10681","Perros","Perros",1,"0","NULL","","P","2014-08-25 07:33:48.223","1","ARG017008"
2015,"América Latina","Cono Sur","Argentina","ARG",5,"Salta","ARG.17_1","ARG-SAL","Grl. José de San Martín","ARG.17.8_1","ARG-SAL-10681","Perros","Perros",1,"0","NULL","","P","2015-09-01 20:20:20.067","1","ARG017008"
2014,"América Latina","Cono Sur","Argentina","ARG",7,"Salta","ARG.17_1","ARG-SAL","Grl. José de San Martín","ARG.17.8_1","ARG-SAL-10681","Perros","Perros",1,"0","NULL","","P","2014-11-17 07:32:15.460","1","ARG017008"
2015,"América Latina","Cono Sur","Argentina","ARG",4,"Salta","ARG.17_1","ARG-SAL","Grl. José de San Martín","ARG.17.8_1","ARG-SAL-10681","Perros","Perros",1,"0","NULL","","P","2015-08-21 15:29:03.800","1","ARG017008"
2003,"América Latina","Cono Sur","Argentina","ARG",1,"Salta","ARG.17_1","ARG-SAL","Sin Informacion","Sin Informacion","...","Perros","Perros",5,"NULL","NULL","NULL","P","2003-05-07 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",1,"Salta","ARG.17_1","ARG-SAL","Sin Informacion","Sin Informacion","...","Perros","Perros",2,"NULL","NULL","NULL","P","2003-05-14 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",2,"Salta","ARG.17_1","ARG-SAL","Sin Informacion","Sin Informacion","...","Perros","Perros",2,"NULL","NULL","NULL","P","2003-05-07 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",2,"Salta","ARG.17_1","ARG-SAL","Sin Informacion","Sin Informacion","...","Perros","Perros",3,"NULL","NULL","NULL","P","2003-05-14 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",3,"Salta","ARG.17_1","ARG-SAL","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"NULL","NULL","NULL","P","2003-05-14 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",3,"Salta","ARG.17_1","ARG-SAL","Sin Informacion","Sin Informacion","...","Perros","Perros",3,"NULL","NULL","NULL","P","2003-05-14 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",4,"Salta","ARG.17_1","ARG-SAL","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"NULL","NULL","NULL","P","2003-05-07 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",4,"Salta","ARG.17_1","ARG-SAL","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"NULL","NULL","NULL","P","2003-05-14 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",5,"Salta","ARG.17_1","ARG-SAL","Sin Informacion","Sin Informacion","...","Perros","Perros",2,"NULL","NULL","NULL","P","2003-09-23 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",7,"Salta","ARG.17_1","ARG-SAL","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"NULL","NULL","NULL","P","2003-09-23 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",7,"Salta","ARG.17_1","ARG-SAL","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"NULL","NULL","NULL","P","2003-09-23 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",5,"Salta","ARG.17_1","ARG-SAL","Sin Informacion","Sin Informacion","...","Perros","Perros",2,"NULL","NULL","NULL","P","2003-09-23 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",6,"Salta","ARG.17_1","ARG-SAL","Sin Informacion","Sin Informacion","...","Perros","Perros",2,"NULL","NULL","NULL","P","2003-09-23 00:00:00.000","NULL",NA
2005,"América Latina","Cono Sur","Argentina","ARG",4,"Salta","ARG.17_1","ARG-SAL","Sin Informacion","Sin Informacion","...","Perros","Perros",12,"0","NULL","NULL","P","2005-10-14 10:41:50.863","12",NA
2005,"América Latina","Cono Sur","Argentina","ARG",6,"Salta","ARG.17_1","ARG-SAL","Sin Informacion","Sin Informacion","...","Perros","Perros",2,"0","NULL","NULL","P","2005-10-14 10:42:22.380","2",NA
2005,"América Latina","Cono Sur","Argentina","ARG",2,"Salta","ARG.17_1","ARG-SAL","Sin Informacion","Sin Informacion","...","Perros","Perros",4,"0","NULL","NULL","P","2005-10-14 10:41:15.940","4",NA
2004,"América Latina","Cono Sur","Argentina","ARG",1,"Salta","ARG.17_1","ARG-SAL","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"0","NULL","NULL","P","2004-09-24 11:28:48.903","1",NA
2003,"América Latina","Cono Sur","Argentina","ARG",1,"Salta","ARG.17_1","ARG-SAL","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"NULL","NULL","NULL","P","2003-05-14 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",1,"Salta","ARG.17_1","ARG-SAL","Sin Informacion","Sin Informacion","...","Perros","Perros",2,"NULL","NULL","NULL","P","2003-05-14 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",5,"Salta","ARG.17_1","ARG-SAL","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"NULL","NULL","NULL","P","2003-09-23 00:00:00.000","NULL",NA
2003,"América Latina","Cono Sur","Argentina","ARG",6,"Salta","ARG.17_1","ARG-SAL","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"NULL","NULL","NULL","P","2003-09-23 00:00:00.000","NULL",NA
1970,"América Latina","Cono Sur","Argentina","ARG",0,"Sin Informacion","Sin Informacion","...","Sin Informacion","Sin Informacion","...","Perros","Perros",671,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1971,"América Latina","Cono Sur","Argentina","ARG",0,"Sin Informacion","Sin Informacion","...","Sin Informacion","Sin Informacion","...","Perros","Perros",646,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1972,"América Latina","Cono Sur","Argentina","ARG",0,"Sin Informacion","Sin Informacion","...","Sin Informacion","Sin Informacion","...","Perros","Perros",773,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1973,"América Latina","Cono Sur","Argentina","ARG",0,"Sin Informacion","Sin Informacion","...","Sin Informacion","Sin Informacion","...","Perros","Perros",1364,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1974,"América Latina","Cono Sur","Argentina","ARG",0,"Sin Informacion","Sin Informacion","...","Sin Informacion","Sin Informacion","...","Perros","Perros",1277,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1975,"América Latina","Cono Sur","Argentina","ARG",0,"Sin Informacion","Sin Informacion","...","Sin Informacion","Sin Informacion","...","Perros","Perros",1871,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1976,"América Latina","Cono Sur","Argentina","ARG",0,"Sin Informacion","Sin Informacion","...","Sin Informacion","Sin Informacion","...","Perros","Perros",4811,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1977,"América Latina","Cono Sur","Argentina","ARG",0,"Sin Informacion","Sin Informacion","...","Sin Informacion","Sin Informacion","...","Perros","Perros",2334,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1978,"América Latina","Cono Sur","Argentina","ARG",0,"Sin Informacion","Sin Informacion","...","Sin Informacion","Sin Informacion","...","Perros","Perros",1115,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1979,"América Latina","Cono Sur","Argentina","ARG",0,"Sin Informacion","Sin Informacion","...","Sin Informacion","Sin Informacion","...","Perros","Perros",1033,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1980,"América Latina","Cono Sur","Argentina","ARG",0,"Sin Informacion","Sin Informacion","...","Sin Informacion","Sin Informacion","...","Perros","Perros",550,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1981,"América Latina","Cono Sur","Argentina","ARG",0,"Sin Informacion","Sin Informacion","...","Sin Informacion","Sin Informacion","...","Perros","Perros",469,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1982,"América Latina","Cono Sur","Argentina","ARG",0,"Sin Informacion","Sin Informacion","...","Sin Informacion","Sin Informacion","...","Perros","Perros",160,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1983,"América Latina","Cono Sur","Argentina","ARG",0,"Sin Informacion","Sin Informacion","...","Sin Informacion","Sin Informacion","...","Perros","Perros",37,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1983,"América Latina","Cono Sur","Argentina","ARG",7,"Sin Informacion","Sin Informacion","...","Sin Informacion","Sin Informacion","...","Perros","Perros",8,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1983,"América Latina","Cono Sur","Argentina","ARG",8,"Sin Informacion","Sin Informacion","...","Sin Informacion","Sin Informacion","...","Perros","Perros",17,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1983,"América Latina","Cono Sur","Argentina","ARG",9,"Sin Informacion","Sin Informacion","...","Sin Informacion","Sin Informacion","...","Perros","Perros",7,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1983,"América Latina","Cono Sur","Argentina","ARG",10,"Sin Informacion","Sin Informacion","...","Sin Informacion","Sin Informacion","...","Perros","Perros",8,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1983,"América Latina","Cono Sur","Argentina","ARG",11,"Sin Informacion","Sin Informacion","...","Sin Informacion","Sin Informacion","...","Perros","Perros",13,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1983,"América Latina","Cono Sur","Argentina","ARG",12,"Sin Informacion","Sin Informacion","...","Sin Informacion","Sin Informacion","...","Perros","Perros",5,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1984,"América Latina","Cono Sur","Argentina","ARG",0,"Sin Informacion","Sin Informacion","...","Sin Informacion","Sin Informacion","...","Perros","Perros",95,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1985,"América Latina","Cono Sur","Argentina","ARG",1,"Sin Informacion","Sin Informacion","...","Sin Informacion","Sin Informacion","...","Perros","Perros",6,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1985,"América Latina","Cono Sur","Argentina","ARG",2,"Sin Informacion","Sin Informacion","...","Sin Informacion","Sin Informacion","...","Perros","Perros",3,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1985,"América Latina","Cono Sur","Argentina","ARG",3,"Sin Informacion","Sin Informacion","...","Sin Informacion","Sin Informacion","...","Perros","Perros",1,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
