Ano,Regiao,Sub_Regiao,Pais,Mes,GeoCodUnidMaior,UnidMaior,GeoCodUnidMenor,UnidMenor,Especie,Categoria,TotalCasos,TotalNaoConfirmados
2004,América Latina,Cono Sur,Chile,3,CHL-BIO,VIII - Región (Bio-Bio),CHL-BIO-11222,Concepcion,Murciélagos No-hematófagos,Murcielagos No-Hematofagos,1,0
2004,América Latina,Cono Sur,Chile,3,CHL-BIO,VIII - Región (Bio-Bio),CHL-BIO-11224,Lota,Murciélagos No-hematófagos,Murcielagos No-Hematofagos,1,0
2004,América Latina,Cono Sur,Chile,3,CHL-BIO,VIII - Región (Bio-Bio),CHL-BIO-11223,Talcahuano,Murciélagos No-hematófagos,Murcielagos No-Hematofagos,2,0
2004,América Latina,Cono Sur,Chile,3,CHL-RMT,Region Metropolitana,CHL-RMT-11423,Vitacura,Murciélagos No-hematófagos,Murcielagos No-Hematofagos,1,0
2004,América Latina,Cono Sur,Chile,3,CHL-BIO,VIII - Región (Bio-Bio),CHL-BIO-11224,Lota,Murciélagos No-hematófagos,Murcielagos No-Hematofagos,1,0
2004,América Latina,Cono Sur,Chile,3,CHL-BIO,VIII - Región (Bio-Bio),CHL-BIO-11229,Penco,Murciélagos No-hematófagos,Murcielagos No-Hematofagos,1,0
2004,América Latina,Cono Sur,Chile,3,CHL-LLA,X - Región (Los Lagos),CHL-LLA-11315,Osorno,Murciélagos No-hematófagos,Murcielagos No-Hematofagos,1,0
2004,América Latina,Cono Sur,Chile,4,CHL-BIO,VIII - Región (Bio-Bio),CHL-BIO-11222,Concepcion,Murciélagos No-hematófagos,Murcielagos No-Hematofagos,1,0
2004,América Latina,Cono Sur,Chile,4,CHL-RMT,Region Metropolitana,CHL-RMT-11143,Santiago,Murciélagos No-hematófagos,Murcielagos No-Hematofagos,1,0
2004,América Latina,Cono Sur,Chile,4,CHL-RMT,Region Metropolitana,CHL-RMT-11143,Santiago,Murciélagos No-hematófagos,Murcielagos No-Hematofagos,1,0
2004,América Latina,Cono Sur,Chile,4,CHL-VLP,V - Región (Valparaiso),CHL-VLP-11106,Vinia del Mar,Murciélagos No-hematófagos,Murcielagos No-Hematofagos,1,0
2004,América Latina,Cono Sur,Chile,9,CHL-RMT,Region Metropolitana,CHL-RMT-11365,La Florida,Murciélagos No-hematófagos,Murcielagos No-Hematofagos,1,0
2004,América Latina,Cono Sur,Chile,10,CHL-RMT,Region Metropolitana,CHL-RMT-11365,La Florida,Murciélagos No-hematófagos,Murcielagos No-Hematofagos,1,0
2004,América Latina,Cono Sur,Chile,10,CHL-LLA,X - Región (Los Lagos),CHL-LLA-11331,Valdivia,Murciélagos No-hematófagos,Murcielagos No-Hematofagos,1,0
