"NAME_1","GID_1"
"Chuquisaca","BOL.1_1"
"Cochabamba","BOL.2_1"
"El Beni","BOL.3_1"
"La Paz","BOL.4_1"
"Oruro","BOL.5_1"
"Pando","BOL.6_1"
"Potosi","BOL.7_1"
"Santa Cruz","BOL.8_1"
"Tarija","BOL.9_1"
"Sin Informacion","Sin Informacion"
"Beni","BOL.3_1"
