"NAME_1","GID_1"
"Atlantico Norte","NIC.1_1"
"Atlantico Sur","NIC.2_1"
"Boaco","NIC.3_1"
"Carazo","NIC.4_1"
"Chinandega","NIC.5_1"
"Chontales","NIC.6_1"
"Esteli","NIC.7_1"
"Granada","NIC.8_1"
"Jinotega","NIC.9_1"
"Lago Nicaragua","NIC.10_1"
"Leon","NIC.11_1"
"Madriz","NIC.12_1"
"Managua","NIC.13_1"
"Masaya","NIC.14_1"
"Matagalpa","NIC.15_1"
"Nueva Segovia","NIC.16_1"
"Rio San Juan","NIC.17_1"
"Rivas","NIC.18_1"
"Sin Informacion","Sin Informacion"
