"state","chsq.prob","odds","pval","cases_yearly","max_cases_monthly","cases_2years","max_gaplength","mean_gaplength","t_since_last_case","t_nocase_prior_lastcase","consecutive_cases_2yr"
"MEX.1_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"MEX.3_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"MEX.2_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"MEX.4_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"MEX.5_1",0.537185293351912,1.01455437053299,0.540570966207401,0.8,1,1,29,11.4,1,29,"N"
"MEX.6_1",0.0549803609422238,0.921397514682764,0.120462650522549,0.4,1,0,46,19.6666666666667,46,0,"N"
"MEX.7_1",0.0295052015751918,0.940024322897409,0.0562858475077566,0.8,2,0,28,14.5,28,20,"N"
"MEX.8_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"MEX.9_1",0.331137355790018,1.01795065109861,0.336770312941311,1.4,1,4,20,6.75,8,1,"Y"
"MEX.10_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"MEX.11_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"MEX.12_1",0.423208728977733,0.978209671546363,0.432299097082663,0.6,1,1,30,14.5,16,30,"N"
"MEX.13_1",0.192314780416265,1.03780755517899,0.216452833388011,0.4,1,1,26,19.6666666666667,11,26,"N"
"MEX.14_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"MEX.15_1",0.00000418371055121991,1.17770959445509,0.00374993344434786,38.2,19,108,8,0.347826086956522,0,0,"Y"
"MEX.16_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"MEX.17_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"MEX.18_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"MEX.19_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"MEX.20_1",0.0368944279779122,1.03545245491922,0.0450946580244742,3.4,3,11,12,4.16666666666667,4,0,"Y"
"MEX.21_1",0.344066394646693,1.01564364109609,0.348152430257339,9,3,14,8,1,1,0,"Y"
"MEX.22_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"MEX.23_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"MEX.24_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"MEX.25_1",0.350114732228774,0.959252163457372,0.383156324695561,0.2,1,0,40,30,40,20,"N"
"MEX.26_1",0.867976655970435,1.00694159942004,0.868248185579695,0.2,1,0,33,30,27,33,"N"
"MEX.27_1",0.999999917627776,1,0.999999999999999,0.2,1,0,31,30,29,31,"N"
"MEX.28_1",0.00498729848880763,0.882190778607005,0.0505673290382951,0.6,1,0,49,14.5,49,0,"N"
"MEX.29_1",0.0425770208327493,0.952755850049822,0.0621599920733006,1,2,0,26,11.4,26,12,"N"
"MEX.30_1",0.735869279638111,1.00653056715636,0.73628026782407,1.2,1,3,23,7.85714285714286,1,14,"N"
"MEX.31_1",0.0297974832112379,1.03417110118601,0.0361622211693418,5.6,4,15,10,2.1,0,0,"Y"
"MEX.32_1",0.305800648120833,0.954767258462889,0.346263614163528,0.2,1,0,41,30,41,19,"N"
