"state","chsq.prob","odds","pval","cases_yearly","max_cases_monthly","cases_2years","max_gaplength","mean_gaplength","t_since_last_case","t_nocase_prior_lastcase","consecutive_cases_2yr"
"SLV.1_1",0.614440661714101,0.990624775039522,0.615621281121995,1.4,1,1,25,6.75,2,25,"N"
"SLV.2_1",0.00376038503679021,0.944829327490286,0.009017817152201,2,2,0,28,5.88888888888889,28,2,"N"
"SLV.3_1",0.0685580514646922,0.901158353982017,0.175770351488182,0.2,1,0,49,30,49,11,"N"
"SLV.4_1",0.0489531970047582,0.966686260574401,0.0583131791002427,2,2,1,18,5.2,18,6,"N"
"SLV.5_1",0.548222692275155,0.981972341350095,0.553677046506915,0.4,1,0,28,19.6666666666667,28,11,"N"
"SLV.6_1",0.867976655970435,0.993106254201795,0.868248185579694,0.2,1,0,31,30,31,29,"N"
"SLV.7_1",1.02551300784626e-12,0.81808295772848,0.0000979963743802026,12,9,1,24,1.69565217391304,24,0,"N"
"SLV.8_1",1.15358833596702e-10,0.785026416233314,0.000874746059654929,6,5,0,40,3.76923076923077,40,4,"N"
"SLV.9_1",5.24522869582711e-10,0.858193560287475,0.0000633937567731492,15.2,14,5,13,1.06666666666667,13,4,"Y"
"SLV.10_1",0.000110443393031012,0.935571479616612,0.000673379180830915,5.2,4,4,15,2.26315789473684,7,15,"Y"
"SLV.11_1",0.00000199490647923017,0.875509865945118,0.00106242855490891,1.4,2,0,41,7.85714285714286,41,1,"N"
"SLV.12_1",0.727661978232127,1.00871765276082,0.728464621877726,0.6,1,2,31,14.5,8,11,"N"
"SLV.13_1",0.00440029529000985,0.949965570991269,0.00888633598254188,2.8,3,0,26,4.63636363636364,26,1,"N"
"SLV.14_1",0.000000178324062183322,0.901031450251744,0.0000608724815638047,10.6,6,11,17,1.38461538461538,17,0,"Y"
