"state","chsq.prob","odds","pval","cases_yearly","max_cases_monthly","cases_2years","max_gaplength","mean_gaplength","t_since_last_case","t_nocase_prior_lastcase","consecutive_cases_2yr"
"CAN.1_1",0.0279381244907601,1.16688821017463,0.159962993850209,0.2,1,1,54,30,6,54,"N"
"CAN.2_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"CAN.3_1",0.654128213220256,1.01125280392507,0.655772383086696,1.4,3,5,35,14.5,6,11,"N"
"CAN.4_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"CAN.5_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"CAN.6_1",0.0279381244907601,1.16688821017463,0.159962993850209,1,5,5,54,30,6,54,"N"
"CAN.7_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"CAN.8_1",0.350114732228774,1.04247875386151,0.383156324695562,0.6,3,3,42,30,18,42,"N"
"CAN.9_1",0.0303860587144329,1.08305566124171,0.0767586203644124,0.4,1,2,42,19.6666666666667,6,11,"N"
"CAN.10_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"CAN.11_1",0.453849482513112,0.981295873433001,0.460302728760702,1.8,5,5,23,14.5,18,11,"N"
"CAN.12_1",0.214861772697053,0.972355189811727,0.228779258244825,2,4,4,18,11.4,18,11,"N"
"CAN.13_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
