"state","chsq.prob","odds","pval","cases_yearly","max_cases_monthly","cases_2years","max_gaplength","mean_gaplength","t_since_last_case","t_nocase_prior_lastcase","consecutive_cases_2yr"
"BOL.1_1",0,74287724759706779648,0.999541343899652,18.2,7,85,30,1.06666666666667,0,0,"Y"
"BOL.2_1",1.17683640610267e-13,1.26271047089126,0.000227597509784417,74.6,38,365,30,1.2962962962963,0,0,"Y"
"BOL.3_1",0.0000281715906852442,58620580625020346368,0.999515740520561,0.2,1,1,60,30,0,60,"N"
"BOL.4_1",0,72367850422732128256,0.999538596591743,35.2,17,159,29,0.878787878787879,0,0,"Y"
"BOL.5_1",0.0000000129447094154855,1.14660713997433,0.000106867867739786,7,7,32,27,3.13333333333333,0,0,"Y"
"BOL.6_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"BOL.7_1",8.54871728961371e-15,1.33211657988165,0.000754322994548575,8.6,4,39,26,1.58333333333333,1,0,"Y"
"BOL.8_1",2.44249065417534e-15,1.37839469075667,0.00139940742535693,95,87,473,27,1.48,0,0,"Y"
"BOL.9_1",0.000000332925674695339,1.1042860935212,0.0000646293801322252,7.4,7,33,29,2.44444444444444,4,0,"Y"
