"state","chsq.prob","odds","pval","cases_yearly","max_cases_monthly","cases_2years","max_gaplength","mean_gaplength","t_since_last_case","t_nocase_prior_lastcase","consecutive_cases_2yr"
"SLV.1_1",0.000138619061314071,1.11571876346777,0.00471900773289606,1,1,4,33,9.33333333333333,1,1,"Y"
"SLV.2_1",0.0000000147002828798648,1.26318910682106,0.00227161556542568,1.6,3,8,46,7.85714285714286,1,1,"Y"
"SLV.3_1",0.00000530456287617387,1.99006912698356,0.0684286601402982,0.6,2,3,57,19.6666666666667,2,0,"Y"
"SLV.4_1",0.00000243150415646376,1.11690101374789,0.000443065426121368,4.6,4,23,38,4.63636363636364,2,0,"Y"
"SLV.5_1",0.00160531704765332,1.06519277675953,0.00537105476179629,3.4,5,15,34,4.63636363636364,2,0,"Y"
"SLV.6_1",0.00000000394769139600015,1.13530352692332,0.0000323529964235378,11.4,8,43,32,1.95238095238095,0,3,"Y"
"SLV.7_1",6.66133814775094e-16,1.44894403978051,0.00291882169381288,10.4,5,49,32,1.58333333333333,0,0,"Y"
"SLV.8_1",0.0000547034933074952,1.09314110331154,0.00116816720713906,1.4,1,6,35,6.75,3,4,"N"
"SLV.9_1",0.00000000741728589659374,1.15868769327429,0.000142899314848236,5.2,3,24,35,3.13333333333333,0,2,"Y"
"SLV.10_1",6.43929354282591e-15,1.34217875384602,0.00087275900751696,30.4,16,130,32,1.2962962962963,1,0,"Y"
"SLV.11_1",0.000910802773297359,1.08452531834497,0.00633431469249629,3,5,15,41,6.75,3,9,"Y"
"SLV.12_1",0.0876586087641713,1.05934852659575,0.129665676917277,0.6,2,3,39,19.6666666666667,20,0,"Y"
"SLV.13_1",NA,NA,NA,0,0,0,61,61,61,0,"N"
"SLV.14_1",0.0123141305830545,1.06059729424414,0.0258928001436835,1.2,2,5,34,9.33333333333333,2,11,"Y"
